respondent_id,age,gender,race,income_tier,stress_scale,trust_neighbors,s33_laddnow,s34_ladd5yr,s35_faminc,s36_opp1,s37_inequal,s32_trust2,s38_opp2,s39_soccap1,s40_soccap2,s42_dignity2,s46_control2,s47_hope,s48_prosocial,s49_dignity4,s27_religion
24,76,Female,Asian,middle,21,medium,7,8,Far below average,4,3,1,2,3,5,2,4,5,4,3,3
25,67,Female,White,middle,24,medium,4,5,Above average,1,4,4,4,3,5,3,2,2,3,4,2
26,58,Female,White,middle,19,medium,6,7,Above average,1,4,2,4,5,3,3,4,4,5,2,3
27,43,Female,White,middle,20,low,6,7,Above average,2,3,3,2,3,4,4,5,3,3,3,3
28,69,Male,Other,middle,18,medium,5,6,Average,2,3,1,5,4,4,4,5,3,4,1,2
29,52,Male,Asian,high,16,medium,8,8,Above average,1,3,2,1,4,4,3,4,1,5,1,3
30,45,Male,Hispanic/Latino,low,17,medium,5,7,Far below average,3,2,1,5,5,2,2,5,2,3,2,1
31,46,Male,Asian,low,23,high,5,7,Below average,3,3,4,3,4,3,3,4,4,3,2,1
32,32,Female,Asian,low,20,low,5,7,Below average,1,4,2,3,4,4,1,3,1,3,3,3
33,23,Male,White,low,34,low,4,6,Average,4,1,1,3,3,3,2,3,4,4,4,1
34,52,Female,White,high,25,high,7,7,Average,1,4,1,4,1,4,2,3,2,3,4,1
35,73,Female,Hispanic/Latino,middle,20,low,7,8,Average,1,3,2,3,5,4,5,5,4,1,1,4
36,22,Female,Black,low,16,medium,3,5,Above average,3,1,2,1,3,4,5,3,3,4,3,4
37,72,Male,White,middle,11,medium,6,7,Below average,1,3,2,3,5,3,4,3,3,2,3,3
38,70,Female,White,high,23,high,7,7,Average,3,3,3,3,2,1,2,3,1,3,4,4
39,35,Female,Hispanic/Latino,middle,20,medium,5,6,Below average,4,3,4,1,4,4,4,4,3,3,5,4
40,57,Male,White,middle,21,medium,4,5,Below average,2,4,2,3,4,4,4,5,3,1,5,1
41,28,Female,Asian,middle,8,medium,7,8,Average,2,3,2,3,2,3,2,5,4,5,1,2
42,65,Male,White,high,22,high,6,6,Far above average,2,4,1,5,1,2,3,5,3,3,3,2
43,62,Female,White,high,19,medium,6,6,Average,2,2,1,2,2,2,1,2,5,5,5,1
44,40,Female,Hispanic/Latino,middle,11,medium,7,8,Far below average,3,4,2,3,3,3,4,5,2,4,4,3
45,22,Female,White,middle,15,medium,6,7,Average,2,1,1,4,5,3,4,3,1,3,5,2
46,79,Male,White,middle,20,medium,5,6,Far below average,2,4,2,4,5,4,2,1,2,3,2,2
47,46,Female,Black,high,16,high,8,8,Above average,4,4,4,2,4,2,3,5,3,5,4,1
48,74,Female,Hispanic/Latino,middle,16,medium,5,6,Average,4,1,2,5,5,3,5,3,3,5,4,1
49,60,Female,White,high,15,medium,6,6,Below average,1,1,2,1,3,3,3,1,2,1,2,4
50,67,Nonbinary,White,middle,16,high,6,7,Below average,4,3,2,5,2,4,3,3,5,3,4,1
51,65,Male,Hispanic/Latino,middle,19,medium,4,5,Below average,3,1,4,4,2,3,2,5,1,3,4,2
52,30,Male,Other,middle,27,medium,6,7,Far above average,3,2,2,5,3,3,2,3,3,4,2,2
53,40,Female,White,high,1,low,9,9,Average,1,2,2,4,1,1,4,4,3,4,1,2
54,47,Nonbinary,White,middle,17,high,7,8,Above average,3,1,4,4,3,1,5,4,2,4,2,3
55,49,Male,White,high,17,medium,7,7,Average,4,3,3,3,3,3,4,4,2,2,5,2
56,20,Male,White,high,18,high,9,9,Average,2,2,1,3,4,5,3,4,4,2,4,1
57,52,Female,White,middle,16,medium,6,7,Below average,2,3,1,2,1,1,5,3,1,4,2,2
58,27,Female,Black,middle,7,high,5,6,Above average,3,4,2,1,2,4,4,2,4,5,2,4
59,64,Female,White,middle,20,medium,4,5,Average,2,3,3,1,3,3,2,5,2,5,3,3
60,61,Male,White,middle,28,medium,5,6,Average,2,3,2,2,3,4,1,5,5,3,5,3
61,76,Female,Black,middle,9,low,6,7,Average,4,3,3,4,2,5,3,3,2,4,2,3
62,64,Female,Black,low,26,medium,5,7,Average,1,2,2,1,1,5,3,5,4,3,5,3
63,41,Female,White,middle,16,medium,4,5,Above average,3,3,2,5,3,3,5,5,3,1,4,1
64,78,Male,Hispanic/Latino,middle,18,medium,6,7,Below average,2,2,2,4,4,4,3,3,5,3,4,2
65,43,Female,Hispanic/Latino,high,10,high,9,9,Average,3,3,1,2,4,2,3,5,3,2,4,3
66,38,Male,Hispanic/Latino,low,19,low,5,7,Average,3,1,1,4,4,5,3,2,5,5,2,2
67,75,Male,White,middle,26,high,5,6,Average,3,4,2,4,2,3,4,4,2,2,3,4
68,41,Male,White,high,19,medium,6,6,Below average,3,4,3,5,4,2,4,3,5,3,1,2
69,22,Female,Asian,middle,28,medium,5,6,Below average,2,2,3,4,3,3,2,4,2,4,3,3
70,47,Male,White,high,23,low,9,9,Below average,1,3,1,2,4,4,4,4,3,4,1,4
71,68,Male,White,middle,21,medium,7,8,Average,2,1,3,5,5,5,3,5,3,4,4,3
72,29,Male,White,low,31,low,4,6,Average,1,2,1,3,2,5,3,2,3,4,5,4
73,47,Female,Black,high,19,medium,6,6,Average,1,3,2,4,1,2,5,5,4,5,3,3
74,26,Female,Asian,middle,23,low,4,5,Average,1,4,1,3,1,4,5,4,4,4,5,4
75,61,Female,White,middle,16,medium,5,6,Average,2,2,4,2,4,5,2,3,3,2,2,2
76,47,Female,Asian,middle,18,medium,6,7,Average,2,3,2,4,1,2,2,3,4,5,5,2
77,38,Female,White,high,12,high,6,6,Below average,1,4,1,4,4,2,4,5,4,3,4,3
78,32,Female,White,middle,24,medium,6,7,Average,4,3,3,1,2,5,3,5,1,3,4,1
79,53,Female,Black,middle,11,medium,6,7,Average,3,4,2,4,4,3,2,5,5,3,4,2
80,60,Male,White,high,21,medium,6,6,Far below average,4,4,1,4,3,5,4,3,3,2,3,4
81,77,Female,White,high,15,medium,6,6,Average,2,2,2,1,3,3,2,5,5,4,1,3
82,45,Male,White,high,23,high,7,7,Average,2,4,3,3,4,2,3,4,3,3,3,1
83,28,Male,Other,high,21,low,8,8,Below average,3,3,1,4,4,4,3,2,4,3,2,2
84,70,Female,Black,low,32,medium,5,7,Average,3,3,1,4,3,4,2,5,3,3,5,1
85,57,Male,Asian,high,20,high,7,7,Average,2,3,4,3,5,4,3,2,2,3,4,1
86,62,Female,Hispanic/Latino,middle,9,low,5,6,Average,1,4,3,4,1,3,3,4,4,2,2,4
87,24,Male,White,middle,18,medium,7,8,Average,2,1,2,4,2,3,4,3,4,4,5,2
88,37,Female,Hispanic/Latino,low,14,high,3,5,Average,4,3,2,2,4,4,4,4,4,2,5,2
89,66,Male,White,middle,15,high,5,6,Average,2,2,1,4,1,3,3,3,5,2,2,3
90,70,Female,White,middle,27,medium,5,6,Above average,3,4,2,4,1,1,5,5,5,4,2,1
91,45,Female,Hispanic/Latino,middle,22,medium,4,5,Average,3,3,3,5,2,4,2,3,1,3,5,2
92,68,Female,Hispanic/Latino,middle,14,medium,5,6,Average,2,1,1,3,4,3,2,3,4,3,3,3
93,71,Male,White,middle,12,low,6,7,Average,4,2,1,3,5,2,4,1,4,1,5,3
94,42,Male,White,middle,18,medium,7,8,Average,1,2,3,3,5,4,4,3,2,5,2,4
95,74,Female,Black,low,14,high,4,6,Average,1,3,2,5,1,3,5,3,4,5,4,3
96,36,Female,Hispanic/Latino,low,17,high,5,7,Average,4,4,1,1,3,5,4,2,5,3,2,2
97,33,Female,Black,high,18,low,8,8,Above average,1,4,2,1,4,5,1,3,5,4,2,3
98,60,Male,White,middle,25,medium,4,5,Above average,2,1,2,2,3,3,4,3,4,4,4,4
99,58,Female,White,high,20,low,7,7,Average,1,1,2,4,4,5,3,3,3,4,4,3
100,26,Female,White,low,7,medium,5,7,Average,3,2,4,3,3,3,4,2,3,5,4,4
